# runs.log — Registre des jobs : 2026-biosphere
# Format : ISO-date | job_id | statut | git_hash | script | notes
2026-03-05T10:04:00+01:00 | qc_fastqc_multiqc_4251260 | START | 6ff6792 | slurm_script | 
2026-03-05T10:04:02+01:00 | qc_fastqc_multiqc_4251260 | FAIL | 6ff6792 | slurm_script | exit 123
2026-03-05T10:06:32+01:00 | qc_fastqc_multiqc_4251346 | START | 66700fd | slurm_script | 
2026-03-05T10:06:34+01:00 | qc_fastqc_multiqc_4251346 | FAIL | 66700fd | slurm_script | exit 123
2026-03-05T10:18:33+01:00 | qc_fastqc_multiqc_4251847 | START | d4dbe5a | slurm_script | 
2026-03-05T10:31:53+01:00 | qc_fastqc_multiqc_4251847 | END | d4dbe5a | slurm_script | 
2026-03-05T11:28:21+01:00 | cutadapt_%j_4252911 | START | cde2d1a | slurm_script | sample=1-10_10_L001
2026-03-05T11:28:26+01:00 | cutadapt_%j_4252911 | END | cde2d1a | slurm_script | sample=1-10_10_L001
2026-03-05T11:38:51+01:00 | cutadapt_1-10_10_L001_4253078 | START | afbe4a3 | slurm_script | sample=1-10_10_L001
2026-03-05T11:38:58+01:00 | cutadapt_1-10_10_L001_4253078 | END | afbe4a3 | slurm_script | sample=1-10_10_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-18_18_L001_4253187 | START | 6745b41 | slurm_script | sample=1-18_18_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-13_13_L001_4253182 | START | 6745b41 | slurm_script | sample=1-13_13_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-12_12_L001_4253181 | START | 6745b41 | slurm_script | sample=1-12_12_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-19_19_L001_4253188 | START | 6745b41 | slurm_script | sample=1-19_19_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-16_16_L001_4253185 | START | 6745b41 | slurm_script | sample=1-16_16_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-1_1_L001_4253180 | START | 6745b41 | slurm_script | sample=1-1_1_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-14_14_L001_4253183 | START | 6745b41 | slurm_script | sample=1-14_14_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-17_17_L001_4253186 | START | 6745b41 | slurm_script | sample=1-17_17_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-15_15_L001_4253184 | START | 6745b41 | slurm_script | sample=1-15_15_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-26_26_L001_4253196 | START | 6745b41 | slurm_script | sample=1-26_26_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-23_23_L001_4253193 | START | 6745b41 | slurm_script | sample=1-23_23_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-25_25_L001_4253195 | START | 6745b41 | slurm_script | sample=1-25_25_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-27_27_L001_4253197 | START | 6745b41 | slurm_script | sample=1-27_27_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-24_24_L001_4253194 | START | 6745b41 | slurm_script | sample=1-24_24_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-21_21_L001_4253190 | START | 6745b41 | slurm_script | sample=1-21_21_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-2_2_L001_4253192 | START | 6745b41 | slurm_script | sample=1-2_2_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-22_22_L001_4253191 | START | 6745b41 | slurm_script | sample=1-22_22_L001
